1500015O10Rik
Msn
Zc2hc1c
Cxcr4
Actn1
Sugt1
Ccdc33
2310030G06Rik
Nxpe4
Mlec
Agpat4
Hs6st2
Ank3
Igfbp4
Phtf1
Galc
Stim1
Layn
Ahsa1
Hrasls
Dxo
Calm1
Morn1
Sypl
Crygn
Dlx4
Gm42722
Rps27l
Wnk1
Pcnx4
Gaa
Steap3
Synpo2
Wwc2
Cdc42bpa
Josd2
Krt8
Plch1
Tfeb
Cryab
Sulf2
Sec14l1
Itpr1
Col12a1
Gpr137
Mrpl24
Lpar3
Adam22
Ccdc102a
Galk2
Col26a1
Hacl1
Mipep
Dpy30
Dcdc5
Kctd1
Fuom
Trappc6a
Lsm12
Nceh1
Tbcel
Hist1h2bc
Gcnt1
Gm37464
Fam126a
N4bp2
BC026585
Cpn1
Gm10419
Zfand4
Ecscr
Gm626
Wdr93
Lrrc36
Grb14
Lbp
Apoc3
Med9os
Naf1
Dsg2
Eps8
Spice1
Ttc5
Cep95
Srp14
Fam149a
Car9
Stom
Gm16201
Dpy19l3
Pih1h3b
Tbc1d31
Tspan2
Ubl5
Ifi27
Syt5
Atp2b1
4930550C14Rik
Ccdc158
Synm
Ndst3
Ddrgk1
Lekr1
Ppp1r35
Urod
Ankub1
Casd1
Wdr49
Sptan1
Dpy19l1
Ptgr1
Clip4
Slc25a18
Pdgfa
D130043K22Rik
Cmpk2
Mpdz
Prepl
Acot6
Abhd14b
1-Mar
Rhpn1
Folr1
Klhdc9
Fuca2
Dyrk3
Tnnt3
Ribc1
Pdcd6
Ccs
Wwox
Cd55
Fam227a
Gm28729
Igf2
Lmln
Fbxw9
Cpne3
Ehbp1l1
Ccl27a
Churc1
Ddo
Wdr31
Acot13
Tmem218
Ogg1
Pi16
Ccdc18
Lrrc18
Gnb2
Idh2
E2f7
BC023829
Lrrc16a
Chd3os
Clic1
Scamp1
Vpreb3
Bola1
Galk1
Cd109
Chia1
Stxbp4
Ermp1
Rreb1
Tomm20l
Tgif1
Cd320
Sirt3
Mtpn
Phf10
9130017K11Rik
9530068E07Rik
Vwa5b1
Aldh3b1
A730020E08Rik
Gm1673
Krcc1
Ccdc89
Pdk1
Fbxo16
Bag2
Sned1
Scn4b
Unc80
Cebpb
Baiap2
Eogt
Mrpl33
Dusp23
Lgals3bp
Zp3
Hint2
Carhsp1
Endog
Lmna
Uhrf1bp1l
Ccdc122
1500009L16Rik
Pam16
Fhod3
Pim2
Pcsk6
Ang
Hc
10-Mar
Anxa11
Tcea3
Dgat2
Ncam1
Vangl1
9530077C05Rik
Nudt12
Nags
Fbxw10
Ngb
Myh6
4930452B06Rik
Nln
Zdhhc1
Pnpo
Eci1
Msantd1
Spcs1
Gm10643
Tm6sf1
Ppp1r16a
9030617O03Rik
A730035I17Rik
Musk
Zbtb11os1
Mast4
Dydc2
Txndc5
Tmem38b
Wdr54
Rassf9
Oma1
Spsb1
Dap3
Znrd1as
Pex11g
Orai3
D430041D05Rik
Elovl7
Utp14b
Grin3a
K230010J24Rik
Ino80b
Fam50b
6430548M08Rik
Lrat
Tmx1
Gm15728
C230037L18Rik
Pi15
Ccdc138
Npas1
Tmem106c
Irak1bp1
P2rx6
Nhlrc2
Caps2
Sap30bpos
Adck4
Crabp1
Col4a2
Taco1os
Hfe
Atr
Ccdc87
Tomm7
Apbb2
B230354K17Rik
2010300C02Rik
Kcnj16
Dock9
Adgre5
Prdx4
4430402I18Rik
Psmb6
Trmt1l
Fzd3
Serpinb6b
Ppp1r15a
Zfp474
Ephx4
C330011M18Rik
Dhrs7b
Dnajc10
Eif4g3
Bmp2k
Psmd9
RP23-238C13.2
3930402G23Rik
Gm44065
Pisd
4932411E22Rik
Tax1bp1
Nqo2
Cuta
Nudt18
Tmem97
Pcbd1
Rnh1
Otx2
Eml1
6430573F11Rik
Vwa3b
Sdr39u1
1700097N02Rik
Cpd
Mtl5
Bace2
Lin7c
Cdhr3
Gm10941
Mcee
Nenf
Scube3
Pstpip1
Avpi1
Rfx1
Plekha2
Khk
Fam188b
Ttc9
Zdbf2
Mepce
Enpp4
Gm1661
Dennd4c
Klhl42
Mut
A430108G06Rik
Mamdc2
Cacng4
Sh3glb1
Lrrc1
Arf5
Znhit2
E030032P16Rik
Manf
Polk
Ccdc53
Zmym3
Srl
Sncaip
Zmpste24
Hgs
Focad
Pde1a
Xylb
Cp
S100a10
Ndufa4l2
Gm12346
St8sia2
Klhdc7a
Zc3h14
Ubl3
Ttc34
Ids
Gm4876
Sdhaf4
Cacna1d
Usp43
Usp19
Hipk3
Tjp3
Sppl2b
Cisd3
Rgs12
Nnmt
Lclat1
Slc2a1
Plpp1
Cdkl1
Serhl
Tspan13
Steap1
Kdm7a
Hacd2
Creb3l1
Bzrap1
Fndc9
Gstm6
Loxl2
C130026L21Rik
Fbln7
0610009L18Rik
Hrk
Ddit4l
Lpin2
Zfp91
Slc24a4
Frmd6
Wdr95
4930444P10Rik
Atpif1
Mzf1
Slc4a8
Dgcr6
Sccpdh
Fads3
Igsf8
Dbpht2
Prtn3
Spop
Gkap1
Lrrcc1
Laptm5
Zc3h6
Smim5
2900026A02Rik
Fam13a
Tpgs2
4931440P22Rik
Cd164
Plb1
Plet1
Itpkb
Ap3m2
Gm12462
Gclc
Ccdc150
Pcyt1b
Tmem89
Gm43496
1700008O03Rik
Pnpla6
Adgra1
Ndufc1
Nudt11
Iqcc
Tagap1
Fitm2
Sh3bp5
Creg2
Rsph14
Ttc28
5730480H06Rik
Stk19
Gas7
Cep112
Yipf1
B230219D22Rik
Rangrf
Rpap3
Pex13
Nkapl
Scai
Gfod2
Mrln
Sgce
Necab2
Gm15417
Sh2d3c
Rit2
Pddc1
Cdk12
Sec14l3
Pkig
Nubpl
Ndufs5
Cox7a2
Heph
Usp6nl
Ccdc14
Khdrbs3
Snhg11
Cldn12
Myl12a
RP23-328F3.4
BC021891
Fam84b
Trim23
Rpn2
Ccdc88c
Retsat
Ptp4a2
Mdh2
Tmem220
Pir
Gm45060
Ocln
Cox6c
Scn3b
Skiv2l
Meox1
Ptpru
Slf1
Eef2kmt
Maoa
Mr1
Gm10421
Rasl10a
5330413P13Rik
Fam162a
Coq4
Cstb
Prrt1
Oaz2
Lancl1
A830018L16Rik
Pyroxd2
Immp1l
Ube2u
Ndufaf7
Nup153
Rgs5
Casp7
Arhgap18
9230114K14Rik
Fam46a
Pcnx
2810029C07Rik
Gm16083
Sdcbp
Efcab11
Kcnn4
Coasy
Mapk10
RP24-266E2.1
Gsr
Sgms1
Zfp318
Hagh
Tnks1bp1
Barx2
Zc2hc1a
Cbr3
Gm45097
Cobll1
Galnt1
Efr3a
Mpp1
Tmem219
Drosha
Ralgps2
Tmbim4
Slc25a21
Ccdc92
Creld2
4930526A20Rik
Sacm1l
Supt20
Caml
Gbp2
Ncs1
Stk3
Wdr38
Pqlc1
Znhit1
Yipf5
Gpn2
Calcoco2
Gmpr
Dydc1
Pomc
Loxl3
Wdr13
Cchcr1
Trap1
Ubl4a
Anapc11
F11r
Mettl20
Ankef1
Fmo5
Cox5b
Mrfap1
Slit2
Rmdn1
Tigd4
Cxadr
Rpl31-ps12
Ndufb9
Usp11
Serf1
Isoc2b
Akap6
D630023O14Rik
Tnni3
Rptoros
Cep152
Arid5a
1700037C18Rik
Gm11523
Nell1
Timm13
Sp3os
Traf5
Fam134a
Scn7a
5930430L01Rik
Gcnt2
Mdm2
Emc9
Asb7
Nt5dc3
Uqcr11
Hltf
Mrpl39
Macrod1
Psmb5
Sod1
Sod2
Tmem52
Srek1ip1
Amacr
Irf2bpl
Ddx20
Enah
Mrpl48
Arap1
Ano6
Slc30a1
Serpinb1b
Pnck
Xrra1
Tigd2
Capn3
Iqgap2
Xpot
Gm13594
Htr5b
Rgs4
Tg
Mkl2
Miip
Rbks
Tmem260
Pdzd8
Gm43579
Spsb2
Il6ra
D030028A08Rik
Hspa1a
Gramd1c
RP24-335D17.3
Qsox2
Ccnc
Glb1l
1700024G13Rik
Mrpl57
Atp5l
Bod1l
Nt5dc2
Sec61b
